,site,area,10hz_uri,50hz_uri
ARM007c,ARM007c,PEG,ARM007c_a544dd863127bc5f0e01f9656c91aa11e63cc806.tgz,ARM007c_8b9836e17d9b02d682f122b204dd7bac30a7ff46.tgz
CLT001a,CLT001a,A1,CLT001a_e29df4d4d96864e83d50e52d0cb1db7cdb57d750.tgz,CLT001a_d22a45a009fbbfa30362e3ec2ac0cfd5041ec319.tgz
CLT007a,CLT007a,A1,CLT007a_b3640573b1530529087d2303a224e616f0d3e5b9.tgz,CLT007a_3f2d0b404f138478069c9692540f045902a4d116.tgz
CLT008a,CLT008a,A1,CLT008a_f95bbc2237b44cdc053c6c7071c59cbaa7cc8f4e.tgz,CLT008a_a867b78138651aa9df3b0525dbf7958eb5f57e40.tgz
CLT009a,CLT009a,A1,CLT009a_714c7ff5ab5f9f0db0b5db37857e9af28a5767d0.tgz,CLT009a_485e952982b0bda204ff11b9bdba913d0f4d04db.tgz
CLT011a,CLT011a,A1,CLT011a_e356cab7e1cf368dc3b60318ba37392b456f7e64.tgz,CLT011a_567bf1e7b4b5f5b55bea2697d70a7fc527e52773.tgz
CLT013a,CLT013a,A1,CLT013a_3cf1414291c331de64ae2fdd0c6262d838952fd0.tgz,CLT013a_3e6500a4c4901690ccce217337408324daa070ac.tgz
CLT014a,CLT014a,A1,CLT014a_9f3e183b9a1add4ca51d70c1b573a123fdac3e65.tgz,CLT014a_f830218730f3637c1319b6a9d49f1828d41d35f4.tgz
CLT015a,CLT015a,A1,CLT015a_ddc558e9ba7cc033bb35aec2a5926b2a0f8b7cd6.tgz,CLT015a_0aa0c8c06249fc3b3ab6023eb34cb412eb9fca7d.tgz
CLT017a,CLT017a,A1,CLT017a_c5943f1ef00cfe57fe70da78e80085ba3d9a6fa0.tgz,CLT017a_82b18b9ccd325e8ec0e8be5e4516b48605226af6.tgz
CLT018a,CLT018a,PEG,CLT018a_2da0a1588d3d7545fd1109dfa4bbf1ca7a9d50e5.tgz,CLT018a_5a804331f4ce65ac4e75d64e434c7ef91c7c317e.tgz
CLT019a,CLT019a,PEG,CLT019a_01a5d6198dac651c1a30dd5825b36c9820db5601.tgz,CLT019a_a5fae2c3f001955af17cb15580fbf3d7cfa02fdc.tgz
CLT020a,CLT020a,PEG,CLT020a_6ad4da7b0c35f4154739e5a68324fbb99e51abfc.tgz,CLT020a_863c4547631b6f8fb83d029fd97466b2604361a2.tgz
