,active,passive,cellid,e1,e2,category,area,null_delta_low_ci,null_delta_high_ci,null_active_high_ci,null_passive_high_ci,site
0,0.0,0.37796447300922714,ARM007c-01-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-0.7071067811865476,0.7071067811865476,0.0,0.5623205254732946,ARM007c
1,0.04825234406533791,0.3865960120109946,ARM007c-04-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.2007453755590194,1.4721601466464396,1.8977562007375446,0.6961035026385536,ARM007c
2,1.2008898777641195,0.0990147542976684,ARM007c-09-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.8474559092227,1.568597967704747,1.4843645861249302,0.8064514761923398,ARM007c
3,0.816496580927726,0.0,ARM007c-12-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-1.414213562373095,1.414213562373095,1.414213562373095,0.0,ARM007c
4,0.0,0.0,ARM007c-13-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,0.0,0.0,0.0,0.0,ARM007c
5,0.7071067811865476,0.024849034773521288,ARM007c-17-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-1.7043468024979564,1.1547005383792517,1.414213562373095,0.7071067811865476,ARM007c
6,0.2445417437817664,0.29893995627568776,ARM007c-18-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.049629524066504,1.5377935276228414,1.925370808227717,0.7882333566792503,ARM007c
7,0.0,0.059419339269731974,ARM007c-29-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-1.3749647045491853,1.4708999762668606,2.1928269645925784,0.759610420690313,ARM007c
8,3.253956867279842,0.4038097240212732,ARM007c-29-2,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-3.3673200908169556,3.2930046670732085,1.838585104230219,0.8500659067751334,ARM007c
9,0.8449049099068254,0.4225546829055223,ARM007c-31-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-1.0388639975811074,1.1717606906549927,1.9099007543897926,0.832820394874912,ARM007c
10,2.0,0.04456565178215866,ARM007c-33-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.2967063219505133,2.112482862935055,2.006600358177805,0.8574929257125441,ARM007c
11,0.3598346924429332,0.2984615692603835,ARM007c-33-2,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.383146849916171,1.898322707478752,2.053322243443063,0.7430188842763947,ARM007c
12,0.9508090561424906,0.15443865833586076,ARM007c-36-1,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-0.9980270855820672,1.271862228113306,1.5118578920369086,0.6765150572292412,ARM007c
13,0.8754655386119161,0.4772507633111189,ARM007c-36-2,CAT_536+-InfdB+Noise,TAR_536+-5dB+Noise,tar_cat,PEG,-2.0656411823776755,1.657696852880252,1.541880074337174,0.6347603126191906,ARM007c
