,active,passive,pval,epoch,site,area,snr,cellid
ARM007c-01-1,0.0,0.02,0.8272593465627113,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-01-1
ARM007c-04-1,-1.0799999999999996,-0.5000000000000001,0.19043026382552397,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-04-1
ARM007c-09-1,1.2,0.72,0.22169999376487637,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-09-1
ARM007c-12-1,-0.18,-0.18,1.0,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-12-1
ARM007c-13-1,0.0,0.0,1.0,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-13-1
ARM007c-17-1,-0.11999999999999998,-0.13999999999999996,0.8272593465627113,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-17-1
ARM007c-18-1,-0.6,-0.9200000000000002,0.6944729643203018,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-18-1
ARM007c-29-1,0.54,0.36000000000000015,0.5126907602619233,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-29-1
ARM007c-29-2,-0.42,-0.54,0.4069754134386494,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-29-2
ARM007c-31-1,0.29999999999999993,0.08,0.12663045794761718,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-31-1
ARM007c-33-1,0.0,0.09999999999999999,0.27523352407483426,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-33-1
ARM007c-33-2,2.28,1.5999999999999999,0.06679806847513828,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-33-2
ARM007c-36-1,0.12,-0.5599999999999999,0.8614141344963563,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-36-1
ARM007c-36-2,0.36000000000000004,0.059999999999999984,0.17607131059707104,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-36-2
ARM007c-36-3,-0.11999999999999998,-0.27999999999999997,0.6625205835400574,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-36-3
ARM007c-37-1,-0.23999999999999994,-0.36000000000000004,0.8958301016298928,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-37-1
ARM007c-37-2,0.4799999999999999,-0.4199999999999998,0.04024278524556949,CAT_536+-InfdB+Noise,ARM007c,PEG,-InfdB,ARM007c-37-2
